id,name,alpha2,alpha3
4,افغانستان,af,afg
248,جزایر الند,ax,ala
8,آلبانی,al,alb
12,الجزایر,dz,dza
16,ساموآی آمریکا,as,asm
20,آندورا,ad,and
24,آنگولا,ao,ago
660,آنگویلا,ai,aia
10,جنوبگان,aq,ata
28,آنتیگوآ و باربودا,ag,atg
32,آرژانتین,ar,arg
51,ارمنستان,am,arm
533,آروبا,aw,abw
36,استرالیا,au,aus
40,اتریش,at,aut
31,جمهوری آذربایجان,az,aze
44,باهاما,bs,bhs
48,بحرین,bh,bhr
50,بنگلادش,bd,bgd
52,باربادوس,bb,brb
112,بلاروس,by,blr
56,بلژیک,be,bel
84,بلیز,bz,blz
204,بنین,bj,ben
60,برمودا,bm,bmu
64,بوتان,bt,btn
68,بولیوی,bo,bol
535,جزایر کارائیب هلند,bq,bes
70,بوسنی و هرزگوین,ba,bih
72,بوتسوانا,bw,bwa
74,جزیره بووه,bv,bvt
76,برزیل,br,bra
86,قلمرو بریتانیا در اقیانوس هند,io,iot
96,برونئی,bn,brn
100,بلغارستان,bg,bgr
854,بورکینافاسو,bf,bfa
108,بوروندی,bi,bdi
132,کیپ ورد,cv,cpv
116,کامبوج,kh,khm
120,کامرون,cm,cmr
124,کانادا,ca,can
136,جزایر کیمن,ky,cym
140,جمهوری آفریقای مرکزی,cf,caf
148,چاد,td,tcd
152,شیلی,cl,chl
156,جمهوری خلق چین,cn,chn
162,جزیره کریسمس,cx,cxr
166,جزایر کوکوس,cc,cck
170,کلمبیا,co,col
174,مجمع‌الجزایر قمر,km,com
178,جمهوری دموکراتیک کنگو,cg,cog
180,جمهوری دموکراتیک کنگو,cd,cod
184,جزایر کوک,ck,cok
188,کاستاریکا,cr,cri
384,ساحل عاج,ci,civ
191,کرواسی,hr,hrv
192,کوبا,cu,cub
531,کوراسائو,cw,cuw
196,قبرس,cy,cyp
203,جمهوری چک,cz,cze
208,دانمارک,dk,dnk
262,جیبوتی,dj,dji
212,دومینیکا,dm,dma
214,جمهوری دومینیکن,do,dom
218,اکوادور,ec,ecu
818,مصر,eg,egy
222,السالوادور,sv,slv
226,گینه استوایی,gq,gnq
232,اریتره,er,eri
233,استونی,ee,est
748,سوازیلند,sz,swz
231,اتیوپی,et,eth
238,جزایر فالکلند,fk,flk
234,جزایر فارو,fo,fro
242,فیجی,fj,fji
246,فنلاند,fi,fin
250,فرانسه,fr,fra
254,گویان فرانسه,gf,guf
258,پلی‌نزی فرانسه,pf,pyf
260,سرزمین‌های جنوبی و جنوبگانی فرانسه,tf,atf
266,گابن,ga,gab
270,گامبیا,gm,gmb
268,گرجستان,ge,geo
276,آلمان,de,deu
288,غنا,gh,gha
292,جبل طارق,gi,gib
300,یونان,gr,grc
304,گرینلند,gl,grl
308,گرنادا,gd,grd
312,جزیرهٔ گوادلوپ,gp,glp
316,گوآم,gu,gum
320,گواتمالا,gt,gtm
831,گرنزی,gg,ggy
324,گینه,gn,gin
624,گینه بیسائو,gw,gnb
328,گویان,gy,guy
332,هائیتی,ht,hti
334,جزیره هرد و جزایر مک‌دونالد,hm,hmd
336,سریر مقدس,va,vat
340,هندوراس,hn,hnd
344,هنگ کنگ,hk,hkg
348,مجارستان,hu,hun
352,ایسلند,is,isl
356,هند,in,ind
360,اندونزی,id,idn
364,ایران,ir,irn
368,عراق,iq,irq
372,ایرلند,ie,irl
833,جزیرۀ من,im,imn
376,اسرائیل,il,isr
380,ایتالیا,it,ita
388,جامائیکا,jm,jam
392,ژاپن,jp,jpn
832,جرزی,je,jey
400,اردن,jo,jor
398,قزاقستان,kz,kaz
404,کنیا,ke,ken
296,کیریباتی,ki,kir
408,کرهٔ شمالی,kp,prk
410,کره جنوبی,kr,kor
414,کویت,kw,kwt
417,قرقیزستان,kg,kgz
418,لائوس,la,lao
428,لتونی,lv,lva
422,لبنان,lb,lbn
426,لسوتو,ls,lso
430,لیبریا,lr,lbr
434,لیبی,ly,lby
438,لیختن‌اشتاین,li,lie
440,لیتوانی,lt,ltu
442,لوکزامبورگ,lu,lux
446,ماکائو,mo,mac
807,مقدونیه,mk,mkd
450,ماداگاسکار,mg,mdg
454,مالاوی,mw,mwi
458,مالزی,my,mys
462,مالدیو,mv,mdv
466,مالی,ml,mli
470,مالت,mt,mlt
584,جزایر مارشال,mh,mhl
474,مارتینیک,mq,mtq
478,موریتانی,mr,mrt
480,موریس,mu,mus
175,مایوت,yt,myt
484,مکزیک,mx,mex
583,ایالات فدرال میکرونزی,fm,fsm
498,مولداوی,md,mda
492,موناکو,mc,mco
496,مغولستان,mn,mng
499,مونته‌نگرو,me,mne
500,مونتسرات,ms,msr
504,مراکش,ma,mar
508,موزامبیک,mz,moz
104,میانمار,mm,mmr
516,نامیبیا,na,nam
520,نائورو,nr,nru
524,نپال,np,npl
528,هلند,nl,nld
540,کالدونیای جدید,nc,ncl
554,نیوزیلند,nz,nzl
558,نیکاراگوئه,ni,nic
562,نیجر,ne,ner
566,نیجریه,ng,nga
570,نیووی,nu,niu
574,جزیره نورفک,nf,nfk
580,جزایر ماریانای شمالی,mp,mnp
578,نروژ,no,nor
512,عمان,om,omn
586,پاکستان,pk,pak
585,پالائو,pw,plw
275,فلسطین,ps,pse
591,پاناما,pa,pan
598,پاپوآ گینهٔ نو,pg,png
600,پاراگوئه,py,pry
604,پرو,pe,per
608,فیلیپین,ph,phl
612,جزایر پیت‌کرن,pn,pcn
616,لهستان,pl,pol
620,پرتغال,pt,prt
630,پورتوریکو,pr,pri
634,قطر,qa,qat
638,رئونیون,re,reu
642,رومانی,ro,rou
643,روسیه,ru,rus
646,رواندا,rw,rwa
652,سن بارتلمی,bl,blm
654,سنت هلنا، اسنشن و تریستان دا کونا,sh,shn
659,سنت کیتس و نویس,kn,kna
662,سنت لوسیا,lc,lca
663,سن مارتن,mf,maf
666,سن پیر ا میکلون,pm,spm
670,سنت وینسنت و گرنادین‌ها,vc,vct
882,ساموآ,ws,wsm
674,سان مارینو,sm,smr
678,سائوتومه و پرنسیپ,st,stp
682,عربستان سعودی,sa,sau
686,سنگال,sn,sen
688,صربستان,rs,srb
690,سیشل,sc,syc
694,سیرالئون,sl,sle
702,سنگاپور,sg,sgp
534,سینت مارتن,sx,sxm
703,اسلواکی,sk,svk
705,اسلوونی,si,svn
90,جزایر سلیمان,sb,slb
706,سومالی,so,som
710,آفریقای جنوبی,za,zaf
239,جزایر جورجیای جنوبی و ساندویچ جنوبی,gs,sgs
728,سودان جنوبی,ss,ssd
724,اسپانیا,es,esp
144,سری‌لانکا,lk,lka
729,سودان,sd,sdn
740,سورینام,sr,sur
744,سوالبارد و یان ماین,sj,sjm
752,سوئد,se,swe
756,سوئیس,ch,che
760,سوریه,sy,syr
158,تایوان,tw,twn
762,تاجیکستان,tj,tjk
834,تانزانیا,tz,tza
764,تایلند,th,tha
626,تیمور شرقی,tl,tls
768,توگو,tg,tgo
772,توکلائو,tk,tkl
776,تونگا,to,ton
780,ترینیداد و توباگو,tt,tto
788,تونس,tn,tun
792,ترکیه,tr,tur
795,ترکمنستان,tm,tkm
796,جزایر تورکس و کایکوس,tc,tca
798,تووالو,tv,tuv
800,اوگاندا,ug,uga
804,اوکراین,ua,ukr
784,امارات متحده عربی,ae,are
826,بریتانیا,gb,gbr
840,ایالات متحدهٔ آمریکا,us,usa
581,جزایر کوچک حاشیه‌ای ایالات متحده آمریکا,um,umi
858,اروگوئه,uy,ury
860,ازبکستان,uz,uzb
548,وانواتو,vu,vut
862,ونزوئلا,ve,ven
