id,name,alpha2,alpha3
288,가나,gh,gha
266,가봉,ga,gab
328,가이아나,gy,guy
270,감비아,gm,gmb
831,건지섬,gg,ggy
312,과들루프,gp,glp
320,과테말라,gt,gtm
316,괌,gu,gum
308,그레나다,gd,grd
300,그리스,gr,grc
304,그린란드,gl,grl
324,기니,gn,gin
624,기니비사우,gw,gnb
516,나미비아,na,nam
520,나우루,nr,nru
566,나이지리아,ng,nga
10,남극,aq,ata
728,남수단,ss,ssd
710,"남아프리카 공화국",za,zaf
528,네덜란드,nl,nld
524,네팔,np,npl
578,노르웨이,no,nor
574,노퍽섬,nf,nfk
540,누벨칼레도니,nc,ncl
554,뉴질랜드,nz,nzl
570,니우에,nu,niu
562,니제르,ne,ner
558,니카라과,ni,nic
410,대한민국,kr,kor
208,덴마크,dk,dnk
214,"도미니카 공화국",do,dom
212,"도미니카 연방",dm,dma
276,독일,de,deu
626,동티모르,tl,tls
418,라오스,la,lao
430,라이베리아,lr,lbr
428,라트비아,lv,lva
643,러시아,ru,rus
422,레바논,lb,lbn
426,레소토,ls,lso
638,레위니옹,re,reu
642,루마니아,ro,rou
442,룩셈부르크,lu,lux
646,르완다,rw,rwa
434,리비아,ly,lby
440,리투아니아,lt,ltu
438,리히텐슈타인,li,lie
450,마다가스카르,mg,mdg
474,마르티니크,mq,mtq
584,"마셜 제도",mh,mhl
175,마요트,yt,myt
446,마카오,mo,mac
807,북마케도니아,mk,mkd
454,말라위,mw,mwi
458,말레이시아,my,mys
466,말리,ml,mli
833,맨섬,im,imn
484,멕시코,mx,mex
492,모나코,mc,mco
504,모로코,ma,mar
480,모리셔스,mu,mus
478,모리타니,mr,mrt
508,모잠비크,mz,moz
499,몬테네그로,me,mne
500,몬트세랫,ms,msr
498,몰도바,md,mda
462,몰디브,mv,mdv
470,몰타,mt,mlt
496,몽골,mn,mng
840,미국,us,usa
581,"미국령 군소 제도",um,umi
850,"미국령 버진아일랜드",vi,vir
104,미얀마,mm,mmr
583,"미크로네시아 연방",fm,fsm
548,바누아투,vu,vut
48,바레인,bh,bhr
52,바베이도스,bb,brb
336,"바티칸 시국",va,vat
44,바하마,bs,bhs
50,방글라데시,bd,bgd
60,버뮤다,bm,bmu
204,베냉,bj,ben
862,베네수엘라,ve,ven
704,베트남,vn,vnm
56,벨기에,be,bel
112,벨라루스,by,blr
84,벨리즈,bz,blz
535,보네르섬,bq,bes
70,"보스니아 헤르체고비나",ba,bih
72,보츠와나,bw,bwa
68,볼리비아,bo,bol
108,부룬디,bi,bdi
854,부르키나파소,bf,bfa
74,부베섬,bv,bvt
64,부탄,bt,btn
580,"북마리아나 제도",mp,mnp
100,불가리아,bg,bgr
76,브라질,br,bra
96,브루나이,bn,brn
882,사모아,ws,wsm
682,사우디아라비아,sa,sau
239,"사우스조지아 사우스샌드위치 제도",gs,sgs
674,산마리노,sm,smr
678,"상투메 프린시페",st,stp
663,생마르탱,mf,maf
652,생바르텔레미,bl,blm
666,"생피에르 미클롱",pm,spm
732,서사하라,eh,esh
686,세네갈,sn,sen
688,세르비아,rs,srb
690,세이셸,sc,syc
662,세인트루시아,lc,lca
670,"세인트빈센트 그레나딘",vc,vct
659,"세인트키츠 네비스",kn,kna
654,세인트헬레나,sh,shn
706,소말리아,so,som
90,"솔로몬 제도",sb,slb
729,수단,sd,sdn
740,수리남,sr,sur
144,스리랑카,lk,lka
744,"스발바르 얀마옌",sj,sjm
752,스웨덴,se,swe
756,스위스,ch,che
724,스페인,es,esp
703,슬로바키아,sk,svk
705,슬로베니아,si,svn
760,시리아,sy,syr
694,시에라리온,sl,sle
534,신트마르턴,sx,sxm
702,싱가포르,sg,sgp
784,아랍에미리트,ae,are
533,아루바,aw,abw
51,아르메니아,am,arm
32,아르헨티나,ar,arg
16,아메리칸사모아,as,asm
352,아이슬란드,is,isl
332,아이티,ht,hti
372,아일랜드,ie,irl
31,아제르바이잔,az,aze
4,아프가니스탄,af,afg
20,안도라,ad,and
8,알바니아,al,alb
12,알제리,dz,dza
24,앙골라,ao,ago
28,"앤티가 바부다",ag,atg
660,앵귈라,ai,aia
232,에리트레아,er,eri
748,에스와티니,sz,swz
233,에스토니아,ee,est
218,에콰도르,ec,ecu
231,에티오피아,et,eth
222,엘살바도르,sv,slv
826,영국,gb,gbr
92,"영국령 버진아일랜드",vg,vgb
86,"영국령 인도양 지역",io,iot
887,예멘,ye,yem
512,오만,om,omn
36,오스트레일리아,au,aus
40,오스트리아,at,aut
340,온두라스,hn,hnd
248,"올란드 제도",ax,ala
400,요르단,jo,jor
800,우간다,ug,uga
858,우루과이,uy,ury
860,우즈베키스탄,uz,uzb
804,우크라이나,ua,ukr
876,"왈리스 푸투나",wf,wlf
368,이라크,iq,irq
364,이란,ir,irn
376,이스라엘,il,isr
818,이집트,eg,egy
380,이탈리아,it,ita
356,인도,in,ind
360,인도네시아,id,idn
392,일본,jp,jpn
388,자메이카,jm,jam
894,잠비아,zm,zmb
832,저지섬,je,jey
226,"적도 기니",gq,gnq
408,조선민주주의인민공화국,kp,prk
268,조지아,ge,geo
156,중국,cn,chn
140,"중앙아프리카 공화국",cf,caf
262,지부티,dj,dji
292,지브롤터,gi,gib
716,짐바브웨,zw,zwe
148,차드,td,tcd
203,체코,cz,cze
152,칠레,cl,chl
120,카메룬,cm,cmr
132,카보베르데,cv,cpv
398,카자흐스탄,kz,kaz
634,카타르,qa,qat
116,캄보디아,kh,khm
124,캐나다,ca,can
404,케냐,ke,ken
136,"케이맨 제도",ky,cym
174,코모로,km,com
188,코스타리카,cr,cri
166,"코코스 제도",cc,cck
384,코트디부아르,ci,civ
170,콜롬비아,co,col
178,"콩고 공화국",cg,cog
180,"콩고 민주 공화국",cd,cod
192,쿠바,cu,cub
414,쿠웨이트,kw,kwt
184,"쿡 제도",ck,cok
531,퀴라소,cw,cuw
191,크로아티아,hr,hrv
162,크리스마스섬,cx,cxr
417,키르기스스탄,kg,kgz
296,키리바시,ki,kir
196,키프로스,cy,cyp
158,타이완,tw,twn
762,타지키스탄,tj,tjk
834,탄자니아,tz,tza
764,태국,th,tha
796,"터크스 케이커스 제도",tc,tca
792,터키,tr,tur
768,토고,tg,tgo
772,토켈라우,tk,tkl
776,통가,to,ton
795,투르크메니스탄,tm,tkm
798,투발루,tv,tuv
788,튀니지,tn,tun
780,"트리니다드 토바고",tt,tto
591,파나마,pa,pan
600,파라과이,py,pry
586,파키스탄,pk,pak
598,파푸아뉴기니,pg,png
585,팔라우,pw,plw
275,팔레스타인,ps,pse
234,"페로 제도",fo,fro
604,페루,pe,per
620,포르투갈,pt,prt
238,"포클랜드 제도",fk,flk
616,폴란드,pl,pol
630,푸에르토리코,pr,pri
250,프랑스,fr,fra
