id,name,alpha2,alpha3
4,อัฟกานิสถาน,af,afg
8,แอลเบเนีย,al,alb
12,แอลจีเรีย,dz,dza
20,อันดอร์รา,ad,and
24,แองโกลา,ao,ago
28,แอนติกาและบาร์บูดา,ag,atg
32,อาร์เจนตินา,ar,arg
51,อาร์มีเนีย,am,arm
36,ออสเตรเลีย,au,aus
40,ออสเตรีย,at,aut
31,อาเซอร์ไบจาน,az,aze
44,บาฮามาส,bs,bhs
48,บาห์เรน,bh,bhr
50,บังกลาเทศ,bd,bgd
52,บาร์เบโดส,bb,brb
112,เบลารุส,by,blr
56,เบลเยียม,be,bel
84,เบลีซ,bz,blz
204,เบนิน,bj,ben
64,ภูฏาน,bt,btn
68,โบลิเวีย,bo,bol
70,บอสเนียและเฮอร์เซโกวีนา,ba,bih
72,บอตสวานา,bw,bwa
76,บราซิล,br,bra
96,บรูไน,bn,brn
100,บัลแกเรีย,bg,bgr
854,บูร์กินาฟาโซ,bf,bfa
108,บุรุนดี,bi,bdi
132,กาบูเวร์ดี,cv,cpv
116,กัมพูชา,kh,khm
120,แคเมอรูน,cm,cmr
124,แคนาดา,ca,can
140,สาธารณรัฐแอฟริกากลาง,cf,caf
148,ชาด,td,tcd
152,ชิลี,cl,chl
156,จีน,cn,chn
170,โคลอมเบีย,co,col
174,คอโมโรส,km,com
178,สาธารณรัฐคองโก,cg,cog
180,สาธารณรัฐประชาธิปไตยคองโก,cd,cod
188,คอสตาริกา,cr,cri
384,โกตดิวัวร์,ci,civ
191,โครเอเชีย,hr,hrv
192,คิวบา,cu,cub
196,ไซปรัส,cy,cyp
203,เช็กเกีย,cz,cze
208,เดนมาร์ก,dk,dnk
262,จิบูตี,dj,dji
212,ดอมินีกา,dm,dma
214,สาธารณรัฐโดมินิกัน,do,dom
218,เอกวาดอร์,ec,ecu
818,อียิปต์,eg,egy
222,เอลซัลวาดอร์,sv,slv
226,อิเควทอเรียลกินี,gq,gnq
232,เอริเทรีย,er,eri
233,เอสโตเนีย,ee,est
748,สวาซิแลนด์,sz,swz
231,เอธิโอเปีย,et,eth
242,ฟีจี,fj,fji
246,ฟินแลนด์,fi,fin
250,ฝรั่งเศส,fr,fra
266,กาบอง,ga,gab
270,แกมเบีย,gm,gmb
268,จอร์เจีย,ge,geo
276,เยอรมนี,de,deu
288,กานา,gh,gha
300,กรีซ,gr,grc
308,เกรเนดา,gd,grd
320,กัวเตมาลา,gt,gtm
324,กินี,gn,gin
624,กินี-บิสเซา,gw,gnb
328,กายอานา,gy,guy
332,เฮติ,ht,hti
340,ฮอนดูรัส,hn,hnd
348,ฮังการี,hu,hun
352,ไอซ์แลนด์,is,isl
356,อินเดีย,in,ind
360,อินโดนีเซีย,id,idn
364,อิหร่าน,ir,irn
368,อิรัก,iq,irq
372,ไอร์แลนด์,ie,irl
376,อิสราเอล,il,isr
380,อิตาลี,it,ita
388,จาเมกา,jm,jam
392,ญี่ปุ่น,jp,jpn
400,จอร์แดน,jo,jor
398,คาซัคสถาน,kz,kaz
404,เคนยา,ke,ken
296,คิริบาส,ki,kir
408,เกาหลีเหนือ,kp,prk
410,เกาหลีใต้,kr,kor
414,คูเวต,kw,kwt
417,คีร์กีซสถาน,kg,kgz
418,ลาว,la,lao
428,ลัตเวีย,lv,lva
422,เลบานอน,lb,lbn
426,เลโซโท,ls,lso
430,ไลบีเรีย,lr,lbr
434,ลิเบีย,ly,lby
438,ลิกเตนสไตน์,li,lie
440,ลิทัวเนีย,lt,ltu
442,ลักเซมเบิร์ก,lu,lux
450,มาดากัสการ์,mg,mdg
454,มาลาวี,mw,mwi
458,มาเลเซีย,my,mys
462,มัลดีฟส์,mv,mdv
466,มาลี,ml,mli
470,มอลตา,mt,mlt
584,หมู่เกาะมาร์แชลล์,mh,mhl
478,มอริเตเนีย,mr,mrt
480,มอริเชียส,mu,mus
484,เม็กซิโก,mx,mex
583,ไมโครนีเซีย,fm,fsm
498,มอลโดวา,md,mda
492,โมนาโก,mc,mco
496,มองโกเลีย,mn,mng
499,มอนเตเนโกร,me,mne
504,โมร็อกโก,ma,mar
508,โมซัมบิก,mz,moz
104,พม่า,mm,mmr
516,นามิเบีย,na,nam
520,นาอูรู,nr,nru
524,เนปาล,np,npl
528,เนเธอร์แลนด์,nl,nld
554,นิวซีแลนด์,nz,nzl
558,นิการากัว,ni,nic
562,ไนเจอร์,ne,ner
566,ไนจีเรีย,ng,nga
807,นอร์ทมาซิโดเนีย,mk,mkd
578,นอร์เวย์,no,nor
512,โอมาน,om,omn
586,ปากีสถาน,pk,pak
585,ปาเลา,pw,plw
591,ปานามา,pa,pan
598,ปาปัวนิวกินี,pg,png
600,ปารากวัย,py,pry
604,เปรู,pe,per
608,ฟิลิปปินส์,ph,phl
616,โปแลนด์,pl,pol
620,โปรตุเกส,pt,prt
634,กาตาร์,qa,qat
642,โรมาเนีย,ro,rou
643,รัสเซีย,ru,rus
646,รวันดา,rw,rwa
659,เซนต์คิตส์และเนวิส,kn,kna
662,เซนต์ลูเชีย,lc,lca
670,เซนต์วินเซนต์และเกรนาดีนส์,vc,vct
882,ซามัว,ws,wsm
674,ซานมารีโน,sm,smr
678,เซาตูเมและปรินซีปี,st,stp
682,ซาอุดีอาระเบีย,sa,sau
686,เซเนกัล,sn,sen
688,เซอร์เบีย,rs,srb
690,เซเชลส์,sc,syc
694,เซียร์ราลีโอน,sl,sle
702,สิงคโปร์,sg,sgp
703,สโลวาเกีย,sk,svk
705,สโลวีเนีย,si,svn
90,หมู่เกาะโซโลมอน,sb,slb
706,โซมาเลีย,so,som
710,แอฟริกาใต้,za,zaf
728,เซาท์ซูดาน,ss,ssd
724,สเปน,es,esp
144,ศรีลังกา,lk,lka
729,ซูดาน,sd,sdn
740,ซูรินาม,sr,sur
752,สวีเดน,se,swe
756,สวิตเซอร์แลนด์,ch,che
760,ซีเรีย,sy,syr
762,ทาจิกิสถาน,tj,tjk
834,แทนซาเนีย,tz,tza
764,ไทย,th,tha
626,ติมอร์-เลสเต,tl,tls
768,โตโก,tg,tgo
776,ตองงา,to,ton
780,ตรินิแดดและโตเบโก,tt,tto
788,ตูนิเซีย,tn,tun
792,ตุรกี,tr,tur
795,เติร์กเมนิสถาน,tm,tkm
798,ตูวาลู,tv,tuv
800,ยูกันดา,ug,uga
804,ยูเครน,ua,ukr
784,สหรัฐอาหรับเอมิเรตส์,ae,are
826,สหราชอาณาจักร,gb,gbr
840,สหรัฐ,us,usa
858,อุรุกวัย,uy,ury
860,อุซเบกิสถาน,uz,uzb
548,วานูอาตู,vu,vut
862,เวเนซุเอลา,ve,ven
704,เวียดนาม,vn,vnm
887,เยเมน,ye,yem
894,แซมเบีย,zm,zmb
716,ซิมบับเว,zw,zwe
