id,name,alpha2,alpha3
4,阿富汗,af,afg
248,奧蘭,ax,ala
8,阿爾巴尼亞,al,alb
12,阿爾及利亞,dz,dza
16,美屬薩摩亞,as,asm
20,安道爾,ad,and
24,安哥拉,ao,ago
660,安圭拉,ai,aia
10,南極洲,aq,ata
28,安地卡及巴布達,ag,atg
32,阿根廷,ar,arg
51,亞美尼亞,am,arm
533,阿魯巴,aw,abw
36,澳大利亞,au,aus
40,奧地利,at,aut
31,亞塞拜然,az,aze
44,巴哈馬,bs,bhs
48,巴林,bh,bhr
50,孟加拉國,bd,bgd
52,巴貝多,bb,brb
112,白俄羅斯,by,blr
56,比利時,be,bel
84,貝里斯,bz,blz
204,貝南,bj,ben
60,百慕達,bm,bmu
64,不丹,bt,btn
68,玻利維亞,bo,bol
535,荷蘭加勒比區,bq,bes
70,波赫,ba,bih
72,波札那,bw,bwa
74,布韋島,bv,bvt
76,巴西,br,bra
86,英屬印度洋領地,io,iot
96,汶萊,bn,brn
100,保加利亞,bg,bgr
854,布吉納法索,bf,bfa
108,蒲隆地,bi,bdi
132,維德角,cv,cpv
116,柬埔寨,kh,khm
120,喀麥隆,cm,cmr
124,加拿大,ca,can
136,開曼群島,ky,cym
140,中非,cf,caf
148,查德,td,tcd
152,智利,cl,chl
156,中國,cn,chn
162,聖誕島,cx,cxr
166,科科斯（基林）群島,cc,cck
170,哥倫比亞,co,col
174,葛摩,km,com
178,剛果共和國,cg,cog
180,剛果民主共和國,cd,cod
184,庫克群島,ck,cok
188,哥斯大黎加,cr,cri
384,象牙海岸,ci,civ
191,克羅埃西亞,hr,hrv
192,古巴,cu,cub
531,古拉索,cw,cuw
196,賽普勒斯,cy,cyp
203,捷克,cz,cze
208,丹麥,dk,dnk
262,吉布地,dj,dji
212,多米尼克,dm,dma
214,多明尼加,do,dom
218,厄瓜多,ec,ecu
818,埃及,eg,egy
222,薩爾瓦多,sv,slv
226,赤道幾內亞,gq,gnq
232,厄利垂亞,er,eri
233,愛沙尼亞,ee,est
748,史瓦帝尼,sz,swz
231,衣索比亞,et,eth
238,福克蘭群島,fk,flk
234,法羅群島,fo,fro
242,斐濟,fj,fji
246,芬蘭,fi,fin
250,法國,fr,fra
254,法屬圭亞那,gf,guf
258,法屬玻里尼西亞,pf,pyf
260,法屬南部和南極領地,tf,atf
266,加彭,ga,gab
270,甘比亞,gm,gmb
268,喬治亞,ge,geo
276,德國,de,deu
288,加納,gh,gha
292,直布羅陀,gi,gib
300,希臘,gr,grc
304,格陵蘭,gl,grl
308,格瑞那達,gd,grd
312,瓜地洛普,gp,glp
316,關島,gu,gum
320,瓜地馬拉,gt,gtm
831,根西,gg,ggy
324,幾內亞,gn,gin
624,幾內亞比索,gw,gnb
328,蓋亞那,gy,guy
332,海地,ht,hti
334,赫德島和麥克唐納群島,hm,hmd
336,梵蒂岡,va,vat
340,宏都拉斯,hn,hnd
344,香港,hk,hkg
348,匈牙利,hu,hun
352,冰島,is,isl
356,印度,in,ind
360,印尼,id,idn
364,伊朗,ir,irn
368,伊拉克,iq,irq
372,愛爾蘭,ie,irl
833,曼島,im,imn
376,以色列,il,isr
380,義大利,it,ita
388,牙買加,jm,jam
392,日本,jp,jpn
832,澤西,je,jey
400,約旦,jo,jor
398,哈薩克,kz,kaz
404,肯亞,ke,ken
296,吉里巴斯,ki,kir
408,北韓,kp,prk
410,韓國,kr,kor
414,科威特,kw,kwt
417,吉爾吉斯,kg,kgz
418,寮國,la,lao
428,拉脫維亞,lv,lva
422,黎巴嫩,lb,lbn
426,賴索托,ls,lso
430,賴比瑞亞,lr,lbr
434,利比亞,ly,lby
438,列支敦斯登,li,lie
440,立陶宛,lt,ltu
442,盧森堡,lu,lux
446,澳門,mo,mac
450,馬達加斯加,mg,mdg
454,馬拉威,mw,mwi
458,馬來西亞,my,mys
462,馬爾地夫,mv,mdv
466,馬利,ml,mli
470,馬爾他,mt,mlt
584,馬紹爾群島,mh,mhl
474,馬丁尼克,mq,mtq
478,茅利塔尼亞,mr,mrt
480,模里西斯,mu,mus
175,馬約特,yt,myt
484,墨西哥,mx,mex
583,密克羅尼西亞聯邦,fm,fsm
498,摩爾多瓦,md,mda
492,摩納哥,mc,mco
496,蒙古國,mn,mng
499,蒙特內哥羅,me,mne
500,蒙特塞拉特,ms,msr
504,摩洛哥,ma,mar
508,莫三比克,mz,moz
104,緬甸,mm,mmr
516,納米比亞,na,nam
520,諾魯,nr,nru
524,尼泊爾,np,npl
528,荷蘭,nl,nld
540,新喀里多尼亞,nc,ncl
554,紐西蘭,nz,nzl
558,尼加拉瓜,ni,nic
562,尼日,ne,ner
566,奈及利亞,ng,nga
570,紐埃,nu,niu
574,諾福克島,nf,nfk
807,北馬其頓,mk,mkd
580,北馬利安納群島,mp,mnp
578,挪威,no,nor
512,阿曼,om,omn
586,巴基斯坦,pk,pak
585,帛琉,pw,plw
275,巴勒斯坦,ps,pse
591,巴拿馬,pa,pan
598,巴布亞紐幾內亞,pg,png
600,巴拉圭,py,pry
604,秘魯,pe,per
608,菲律賓,ph,phl
612,皮特肯群島,pn,pcn
616,波蘭,pl,pol
620,葡萄牙,pt,prt
630,波多黎各,pr,pri
634,卡達,qa,qat
638,留尼旺,re,reu
642,羅馬尼亞,ro,rou
643,俄羅斯,ru,rus
646,盧安達,rw,rwa
652,聖巴瑟米,bl,blm
654,聖赫倫那、阿森松和特里斯坦-達庫尼亞,sh,shn
659,聖克里斯多福及尼維斯,kn,kna
662,聖露西亞,lc,lca
663,法屬聖馬丁,mf,maf
666,聖皮埃與密克隆群島,pm,spm
670,聖文森及格瑞那丁,vc,vct
882,薩摩亞,ws,wsm
674,聖馬利諾,sm,smr
678,聖多美普林西比,st,stp
682,沙烏地阿拉伯,sa,sau
686,塞內加爾,sn,sen
688,塞爾維亞,rs,srb
690,塞席爾,sc,syc
694,獅子山,sl,sle
702,新加坡,sg,sgp
534,荷屬聖馬丁,sx,sxm
703,斯洛伐克,sk,svk
705,斯洛維尼亞,si,svn
90,索羅門群島,sb,slb
706,索馬利亞,so,som
710,南非,za,zaf
239,南喬治亞和南桑威奇群島,gs,sgs
728,南蘇丹,ss,ssd
724,西班牙,es,esp
144,斯里蘭卡,lk,lka
729,蘇丹,sd,sdn
740,蘇利南,sr,sur
744,斯瓦爾巴和揚馬延,sj,sjm
752,瑞典,se,swe
756,瑞士,ch,che
760,敘利亞,sy,syr
158,台灣,tw,twn
762,塔吉克,tj,tjk
834,坦尚尼亞,tz,tza
764,泰國,th,tha
626,東帝汶,tl,tls
768,多哥,tg,tgo
772,托克勞,tk,tkl
776,東加,to,ton
780,千里達及托巴哥,tt,tto
788,突尼西亞,tn,tun
792,土耳其,tr,tur
795,土庫曼,tm,tkm
796,特克斯與凱科斯群島,tc,tca
798,吐瓦魯,tv,tuv
800,烏干達,ug,uga
804,烏克蘭,ua,ukr
784,阿聯,ae,are
826,英國,gb,gbr
840,美國,us,usa
581,美國本土外小島嶼,um,umi
858,烏拉圭,uy,ury
860,烏茲別克,uz,uzb
548,萬那杜,vu,vut
862,委內瑞拉,ve,ven
704,越南,vn,vnm
92,英屬維京群島,vg,vgb
850,美屬維京群島,vi,vir
876,瓦利斯和富圖那,wf,wlf
732,撒拉威阿拉伯民主共和國,eh,esh
887,葉門,ye,yem
894,尚比亞,zm,zmb
716,辛巴威,zw,zwe
