id,name,alpha2,alpha3
36,Австралія,au,aus
40,Австрія,at,aut
31,Азербайджан,az,aze
248,"Аландські острови",ax,ala
8,Албанія,al,alb
12,Алжир,dz,dza
16,"Американське Самоа",as,asm
850,"Американські Віргінські Острови",vi,vir
660,Ангілья,ai,aia
24,Ангола,ao,ago
20,Андорра,ad,and
10,Антарктида,aq,ata
28,"Антигуа і Барбуда",ag,atg
32,Аргентина,ar,arg
533,Аруба,aw,abw
4,Афганістан,af,afg
44,"Багамські Острови",bs,bhs
50,Бангладеш,bd,bgd
52,Барбадос,bb,brb
48,Бахрейн,bh,bhr
84,Беліз,bz,blz
56,Бельгія,be,bel
204,Бенін,bj,ben
60,"Бермудські Острови",bm,bmu
112,Білорусь,by,blr
100,Болгарія,bg,bgr
68,Болівія,bo,bol
70,"Боснія і Герцеговина",ba,bih
72,Ботсвана,bw,bwa
76,Бразилія,br,bra
86,"Британська Територія в Індійському Океані",io,iot
92,"Британські Віргінські Острови",vg,vgb
96,Бруней,bn,brn
854,Буркіна-Фасо,bf,bfa
108,Бурунді,bi,bdi
64,Бутан,bt,btn
548,Вануату,vu,vut
336,Ватикан,va,vat
826,"Велика Британія",gb,gbr
862,Венесуела,ve,ven
704,В'єтнам,vn,vnm
51,Вірменія,am,arm
876,"Волліс і Футуна",wf,wlf
266,Габон,ga,gab
332,Гаїті,ht,hti
328,Гаяна,gy,guy
270,Гамбія,gm,gmb
288,Гана,gh,gha
312,Гваделупа,gp,glp
320,Гватемала,gt,gtm
324,Гвінея,gn,gin
624,Гвінея-Бісау,gw,gnb
831,Гернсі,gg,ggy
340,Гондурас,hn,hnd
344,Гонконг,hk,hkg
308,Гренада,gd,grd
300,Греція,gr,grc
268,Грузія,ge,geo
316,Гуам,gu,gum
292,Гібралтар,gi,gib
304,Ґренландія,gl,grl
208,Данія,dk,dnk
180,"ДР Конго",cd,cod
832,Джерсі,je,jey
262,Джибуті,dj,dji
212,Домініка,dm,dma
214,"Домініканська Республіка",do,dom
581,"Зовнішні малі острови США",um,umi
218,Еквадор,ec,ecu
226,"Екваторіальна Гвінея",gq,gnq
232,Еритрея,er,eri
233,Естонія,ee,est
231,Ефіопія,et,eth
818,Єгипет,eg,egy
887,Ємен,ye,yem
894,Замбія,zm,zmb
732,"Західна Сахара",eh,esh
716,Зімбабве,zw,zwe
376,Ізраїль,il,isr
356,Індія,in,ind
360,Індонезія,id,idn
368,Ірак,iq,irq
364,Іран,ir,irn
372,Ірландія,ie,irl
352,Ісландія,is,isl
724,Іспанія,es,esp
380,Італія,it,ita
400,Йорданія,jo,jor
132,Кабо-Верде,cv,cpv
398,Казахстан,kz,kaz
136,"Кайманові Острови",ky,cym
116,Камбоджа,kh,khm
120,Камерун,cm,cmr
124,Канада,ca,can
634,Катар,qa,qat
