id,name,alpha2,alpha3
20,安道尔,ad,and
784,阿联酋,ae,are
4,阿富汗,af,afg
28,安地卡及巴布達,ag,atg
660,安圭拉,ai,aia
8,阿尔巴尼亚,al,alb
51,亞美尼亞,am,arm
24,安哥拉,ao,ago
10,南极洲,aq,ata
32,阿根廷,ar,arg
16,美属萨摩亚,as,asm
40,奥地利,at,aut
36,澳大利亚,au,aus
533,阿鲁巴,aw,abw
248,奥兰,ax,ala
31,阿塞拜疆,az,aze
70,波斯尼亚和黑塞哥维那,ba,bih
52,巴巴多斯,bb,brb
50,孟加拉国,bd,bgd
56,比利時,be,bel
854,布吉納法索,bf,bfa
100,保加利亚,bg,bgr
48,巴林,bh,bhr
108,布隆迪,bi,bdi
204,贝宁,bj,ben
652,圣巴泰勒米,bl,blm
60,百慕大,bm,bmu
96,文莱,bn,brn
68,玻利维亚,bo,bol
535,加勒比荷兰,bq,bes
76,巴西,br,bra
44,巴哈马,bs,bhs
64,不丹,bt,btn
74,布韦岛,bv,bvt
72,博茨瓦纳,bw,bwa
112,白俄羅斯,by,blr
84,伯利兹,bz,blz
124,加拿大,ca,can
166,科科斯（基林）群島,cc,cck
180,刚果（金）,cd,cod
140,中非,cf,caf
178,刚果（布）,cg,cog
756,瑞士,ch,che
384,科特迪瓦,ci,civ
184,庫克群島,ck,cok
152,智利,cl,chl
120,喀麦隆,cm,cmr
156,中国,cn,chn
170,哥伦比亚,co,col
188,哥斯达黎加,cr,cri
192,古巴,cu,cub
132,佛得角,cv,cpv
531,库拉索,cw,cuw
162,圣诞岛,cx,cxr
196,賽普勒斯,cy,cyp
203,捷克,cz,cze
276,德國,de,deu
262,吉布提,dj,dji
208,丹麥,dk,dnk
212,多米尼克,dm,dma
214,多米尼加,do,dom
12,阿尔及利亚,dz,dza
218,厄瓜多尔,ec,ecu
233,爱沙尼亚,ee,est
818,埃及,eg,egy
732,阿拉伯撒哈拉民主共和国,eh,esh
232,厄立特里亚,er,eri
724,西班牙,es,esp
231,衣索比亞,et,eth
246,芬兰,fi,fin
242,斐济,fj,fji
238,福克蘭群島,fk,flk
583,密克羅尼西亞聯邦,fm,fsm
234,法罗群岛,fo,fro
250,法国,fr,fra
266,加彭,ga,gab
826,英國,gb,gbr
308,格瑞那達,gd,grd
268,格鲁吉亚,ge,geo
254,法属圭亚那,gf,guf
831,根西,gg,ggy
288,加纳,gh,gha
292,直布罗陀,gi,gib
304,格陵兰,gl,grl
270,冈比亚,gm,gmb
324,几内亚,gn,gin
312,瓜德罗普,gp,glp
226,赤道几内亚,gq,gnq
300,希臘,gr,grc
239,南乔治亚和南桑威奇群岛,gs,sgs
320,危地马拉,gt,gtm
316,關島,gu,gum
624,几内亚比绍,gw,gnb
328,圭亚那,gy,guy
344,香港,hk,hkg
334,赫德岛和麦克唐纳群岛,hm,hmd
340,洪都拉斯,hn,hnd
191,克罗地亚,hr,hrv
332,海地,ht,hti
348,匈牙利,hu,hun
360,印尼,id,idn
372,爱尔兰,ie,irl
376,以色列,il,isr
833,曼島,im,imn
356,印度,in,ind
86,英屬印度洋領地,io,iot
368,伊拉克,iq,irq
364,伊朗,ir,irn
352,冰島,is,isl
380,義大利,it,ita
832,澤西,je,jey
388,牙买加,jm,jam
400,约旦,jo,jor
392,日本,jp,jpn
404,肯尼亚,ke,ken
417,吉尔吉斯斯坦,kg,kgz
116,柬埔寨,kh,khm
296,基里巴斯,ki,kir
174,科摩罗,km,com
659,圣基茨和尼维斯,kn,kna
408,朝鲜,kp,prk
410,韩国,kr,kor
414,科威特,kw,kwt
136,开曼群岛,ky,cym
398,哈萨克斯坦,kz,kaz
418,老挝,la,lao
422,黎巴嫩,lb,lbn
662,圣卢西亚,lc,lca
438,列支敦斯登,li,lie
144,斯里蘭卡,lk,lka
430,利比里亚,lr,lbr
426,賴索托,ls,lso
440,立陶宛,lt,ltu
442,卢森堡,lu,lux
428,拉脫維亞,lv,lva
434,利比亞,ly,lby
504,摩洛哥,ma,mar
492,摩納哥,mc,mco
498,摩尔多瓦,md,mda
499,蒙特內哥羅,me,mne
663,法属圣马丁,mf,maf
450,马达加斯加,mg,mdg
584,马绍尔群岛,mh,mhl
807,馬其頓,mk,mkd
466,马里,ml,mli
104,緬甸,mm,mmr
496,蒙古,mn,mng
446,澳門,mo,mac
580,北馬里亞納群島,mp,mnp
474,马提尼克,mq,mtq
478,毛里塔尼亚,mr,mrt
500,蒙特塞拉特,ms,msr
470,馬爾他,mt,mlt
480,模里西斯,mu,mus
462,馬爾地夫,mv,mdv
454,马拉维,mw,mwi
484,墨西哥,mx,mex
458,马来西亚,my,mys
508,莫桑比克,mz,moz
516,纳米比亚,na,nam
540,新喀里多尼亞,nc,ncl
562,尼日尔,ne,ner
574,诺福克岛,nf,nfk
566,奈及利亞,ng,nga
558,尼加拉瓜,ni,nic
528,荷蘭,nl,nld
578,挪威,no,nor
524,尼泊尔,np,npl
520,瑙鲁,nr,nru
570,纽埃,nu,niu
554,新西蘭,nz,nzl
512,阿曼,om,omn
591,巴拿马,pa,pan
604,秘魯,pe,per
